Geneid	0_R1	0_R2	2.5_R1	2.5_R2	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	30_R1	30_R2	Entity	Symbol
gene-b1450	37	202	80	390	19	136	4	80	4	56	1	35	host	mcbR
gene-b0548	0	13	1	42	0	55	0	28	0	36	0	15	host	ninE
gene-b3737	2715	30390	4701	63868	2677	3654	781	894	642	664	332	326	host	atpE
gene-b2865	139	786	177	754	74	274	33	131	20	84	17	45	host	actS
gene-b1168	9	112	24	277	3	236	2	207	10	102	1	62	host	pdeG
gene-b1355	2	21	3	43	1	29	0	29	2	19	0	10	host	ydaG
gene-b4213	171	690	170	1092	49	520	19	339	21	189	12	68	host	cpdB
gene-b3912	380	1878	578	30021	222	323	87	191	74	154	39	52	host	cpxR
gene-b2096	1749	2250	1717	3742	699	1029	230	437	219	300	172	177	host	gatY
gene-b2814	3704	20097	5986	19757	5247	25219	3735	8525	1687	5409	747	3759	host	metZ
gene-b1489	38	320	81	421	14	297	6	220	3	154	3	66	host	dosP
gene-b2745	469	2489	652	2732	263	350	100	150	52	110	47	41	host	truD
gene-b3190	271	1127	439	735	222	116	68	39	42	35	23	19	host	ibaG
gene-b4545	3	29	5	37	1	31	0	20	0	26	0	20	host	ypdJ
gene-b4517	169	320	78	253	30	104	5	58	7	40	7	18	host	gnsA
gene-b2711	11	108	18	226	8	200	4	157	2	96	0	46	host	norW
gene-b1705	51	450	98	414	32	103	11	40	8	28	4	17	host	ydiE
gene-b4267	7	60	8	198	6	225	2	149	1	129	3	47	host	idnD
gene-b0640	261	1908	559	2266	171	356	66	146	43	114	37	62	host	holA
gene-b3672	191	682	93	654	60	537	23	182	12	105	18	66	host	ivbL
gene-T4p085	4	1	59	4195	3135	61580	3878	55461	2119	15642	147	5937	phage	nrdC.1
gene-b1647	119	813	139	1089	88	284	28	138	13	96	13	38	host	ydhF
gene-b0090	577	1919	1015	2528	346	503	152	257	67	176	71	68	host	murG
gene-b3781	1562	13024	2245	14028	1260	3162	454	780	296	605	198	311	host	trxA
gene-b3543	2113	463	4115	2501	1804	460	451	271	200	224	124	89	host	dppB
gene-b1274	3048	13068	5159	19351	2299	2473	861	695	554	539	472	232	host	topA
gene-b4075	4	43	4	70	2	133	3	72	472	52	0	23	host	nrfF
gene-b0244	135	650	61	550	58	395	7	122	43	111	13	93	host	thrW
gene-b0733	802	5777	1052	10104	506	1207	169	446	126	362	92	167	host	cydA
gene-b3462	460	1301	756	1698	363	573	178	345	95	213	75	114	host	ftsX
gene-b4107	18	87	11	144	7	141	1	98	0	83	0	28	host	yjdN
gene-b0827	304	1752	364	2248	158	421	77	214	51	163	37	65	host	moeA
gene-b2608	9710	41272	16556	48192	15009	6631	4558	897	2564	553	1890	274	host	rimM
gene-b4123	25	194	28	443	16	501	7	1968	5	236	1	92	host	dcuB
gene-b0060	74	645	197	787	68	516	28	322	16	244	14	90	host	polB
gene-b4594	1	7	1	21	0	18	0	19	1	8	0	1	host	ymgJ
gene-b4307	16	68	15	142	7	128	4	86	2	59	3	44	host	yjhQ
gene-b4487	58	78	36	136	15	135	4	87	2	73	5	31	host	yjdP
gene-b3617	684	3112	807	4098	475	917	205	422	165	246	154	140	host	kbl
gene-b4414	4859	20514	5799	25087	3800	11248	1372	1702	819	1242	545	565	host	tff
gene-b2909	576	3858	610	3700	248	408	96	6490	69	130	45	63	host	ygfB
gene-b1384	41	243	110	244	42	136	11	88	10	61	2	18	host	feaR
gene-b3719	14	130	20	404	17	453	12	270	11	186	5	86	host	yieL
gene-T4p192	1	2	5	2199	7	4073	16	10266	3614	124542	880	80196	phage	27
gene-b0778	528	761	714	1699	436	263	74	125	44	84	31	39	host	bioD
gene-b0980	37	211	53	286	23	207	4	135	1	130	1	40	host	appA
gene-b4198	27	106	29	273	15	260	10	175	4	115	5	44	host	ulaF
gene-b4802	2	38	3	51	0	56	0	35	0	25	0	17	host	ythB
gene-b0224	600	3276	809	2733	284	465	99	181	77	137	44	64	host	dpaA
gene-b3727	91	451	93	896	40	566	29	335	14	219	18	79	host	pstC
gene-b1285	148	626	191	887	72	361	23	223	12	164	13	48	host	pdeR
gene-b4366	26	686	89	490	20	187	5	97	3	97	1	51	host	bglJ
gene-b0811	3537	27161	2208	33229	671	4619	233	1333	150	1101	78	585	host	glnH
gene-b1227	7	124	12	173	5	142	6	89	1	57	0	19	host	narI
gene-b1131	2107	23988	1732	19746	661	2313	279	767	146	619	130	259	host	purB
gene-b3500	1095	4094	1114	5223	511	693	182	357	134	227	89	111	host	gor
gene-b3497	205	441	315	984	193	353	65	206	36	140	26	83	host	rsmJ
gene-b2137	38	121	43	191	19	163	1	93	3	75	2	19	host	yohF
gene-b4089	101	715	134	685	36	327	20	210	7	155	11	77	host	alsR
gene-b1808	166	1070	373	953	118	363	58	220	22	149	18	65	host	yoaA
gene-b4426	7	49	15	61	8	86	3	28	4	12	0	11	host	mcaS
gene-b1629	432	2936	823	3657	293	743	157	331	83	240	63	110	host	rsxC
gene-T4p012	0	2	1391	88156	6351	127460	2877	80379	5069	43154	390	17367	phage	motB.1
gene-b4072	8	57	23	134	6	181	3	110	1	70	1	31	host	nrfC
gene-b1756	15	89	16	131	7	102	1	64	0	48	1	21	host	ynjD
gene-b0117	22	376	62	518	35	569	15	358	16	228	8	91	host	yacH
gene-b2875	32	167	48	410	17	384	9	296	8	194	3	94	host	yqeB
gene-b4484	383	1083	141	435	57	291	35	154	24	123	14	54	host	cpxP
gene-b0709	59	376	155	560	52	358	28	249	11	140	14	46	host	dtpD
gene-b4035	20	155	40	320	15	387	16	250	7	153	7	43	host	malK
gene-b3387	526	2809	799	2941	250	486	81	202	74	136	44	56	host	gene-b3387_gene_dam
gene-b4062	221	401	45	522	38	660	26	422	23	376	15	136	host	soxS
gene-b0764	51	294	118	344	48	196	19	114	9	67	5	31	host	modB
gene-b1611	378	891	372	885	166	291	70	127	43	112	20	49	host	fumC
gene-b2552	50	259	68	319	39	262	10	165	7	134	10	45	host	hmp
gene-b4684	1	16	0	15	3	58	0	34	1	24	0	10	host	yqfG
gene-b3716	34	211	27	288	6	269	5	182	3	150	2	73	host	cbrB
gene-b4173	1518	7019	3096	9730	1169	977	396	353	162	250	150	121	host	hflX
gene-b3670	61	56	90	165	54	89	17	59	16	54	13	28	host	ilvN
gene-b1862	16	92	26	170	23	172	15	103	8	72	3	34	host	yebB
gene-T4p128	2	0	659	63822	5355	58535	141	5660	435	7763	39	5942	phage	e.5
gene-b2746	180	1078	283	1109	112	143	48	55	30	43	25	21	host	ispF
gene-b0385	17	176	32	295	12	292	5	196	6	174	2	51	host	dgcC
gene-b1696	18	64	12	146	8	123	2	67	1	53	0	29	host	ydiP
gene-b0971	1189	2574	1153	4842	768	4457	278	582	156	411	88	191	host	serT
gene-b3169	3915	14667	8565	23743	4964	2317	2016	629	1064	508	690	227	host	nusA
gene-b2982	104	1058	110	919	54	224	22	152	11	88	7	48	host	insH9
gene-b1774	4	34	10	142	1	143	1	149	3	57	0	33	host	ydjJ
gene-b3593	109	925	156	1775	75	1723	47	1208	27	929	17	483	host	rhsA
gene-b3999	254	1815	366	1694	157	356	75	171	67	116	46	40	host	yjaG
gene-b0082	669	3200	703	3550	282	504	128	272	71	172	65	88	host	rsmH
gene-b2074	81	300	66	353	20	232	12	156	11	131	5	57	host	mdtA
gene-b1118	469	2128	953	2888	293	391	122	201	71	131	63	48	host	lolE
gene-b3729	2569	18707	3876	23893	1419	2826	720	1176	471	953	397	437	host	glmS
gene-b3742	390	2994	716	2179	294	603	99	223	56	152	52	76	host	mioC
gene-b4616	2	34	3	43	5	53	1	31	0	23	0	13	host	istR
gene-b3098	707	3212	894	4849	405	811	130	241	54	158	61	76	host	yqjD
gene-b3638	229	1664	337	1751	131	446	54	234	45	151	20	70	host	yicR
gene-b4297	66	337	77	570	45	530	28	10271	11	251	7	124	host	yjhG
gene-b2234	1484	9141	2108	11001	777	1446	372	361	216	283	151	162	host	nrdA
gene-b4444	2	17	3	25	1	33	0	21	0	14	0	6	host	omrA
gene-b2022	1047	1346	1554	2031	1303	487	324	184	137	115	185	55	host	hisB
gene-b3298	19062	86935	34012	129325	21564	14555	5958	2885	4767	2152	2637	841	host	rpsM
gene-b0655	1776	7516	1667	12401	454	920	137	336	151	280	57	99	host	gltI
gene-b1816	89	949	171	1097	62	296	32	161	17	141	15	54	host	yoaE
gene-b1222	197	1192	217	1153	64	366	49	170	22	138	17	49	host	narX
gene-b1138	9	93	6	109	6	44	1	32	2	37	0	11	host	ymfE
gene-b3699	3029	11920	4268	15594	1839	2473	959	1019	524	746	416	285	host	gyrB
gene-b4816	9	40	10	44	4	32	0	18	1	18	0	6	host	ymgN
gene-b1057	21	129	51	204	11	110	12	76	7	65	2	34	host	yceJ
gene-b4469	780	7774	1791	9197	698	1403	355	624	213	461	145	171	host	ygiQ
gene-b3235	174	1163	237	993	86	367	54	177	31	140	26	45	host	degS
gene-b0383	115	358	211	579	48	362	26	207	18	198	10	68	host	phoA
gene-b3499	294	2401	466	2638	185	455	88	213	39	156	43	75	host	rlmJ
gene-b4113	84	284	69	354	24	264	7	171	1	132	5	54	host	basR
gene-b0202	1148	5038	1623	7590	644	1864	2051	1056	200	434	111	288	host	ileV
gene-b2110	0	18	0	44	1	68	0	46	4	42	0	24	host	yehC
gene-b3861	62	197	60	587	58	648	59	547	48	261	32	98	host	yihF
gene-b1434	15	178	29	157	16	87	4	64	4	30	6	10	host	sutR
gene-b0055	201	977	243	1237	105	374	62	176	37	124	14	74	host	djlA
gene-b1930	6	47	12	65	7	48	4	32	0	23	2	15	host	yedF
gene-b1089	4954	31859	6402	40145	5415	31549	3743	13881	1738	8530	1392	3890	host	rpmF
gene-T4p061	0	1	3	869	1045	104878	1820	110661	4236	101685	703	37288	phage	a-gt.2
gene-T4p021	0	0	899	44472	1929	24685	32	3653	78	2398	10	4500	phage	gene-T4p021_gene_modB
gene-b1349	7	88	9	117	0	112	2	61	1	53	1	28	host	recT
gene-b4261	545	1327	843	1293	321	463	109	251	82	155	73	68	host	lptF
gene-b4598	46	205	41	266	26	415	2	110	3	65	2	40	host	yncL
gene-b2716	58	219	61	389	26	302	9	196	4	152	6	59	host	ascB
gene-b0193	28	218	50	255	15	187	10	111	9	79	3	40	host	yaeF
gene-b2975	18	166	64	415	31	439	12	295	6	152	4	75	host	glcA
gene-b0960	230	2442	378	2206	144	432	71	256	49	184	35	68	host	yccS
gene-b2768	13	56	13	92	9	122	1	81	1	50	0	13	host	ygcP
gene-b3775	211	1702	250	1972	136	694	87	174	41	139	18	46	host	ppiC
gene-b1770	26	126	21	241	5	95	1	72	2	56	0	32	host	ydjF
gene-b1286	2125	14844	2526	18033	1066	1831	399	569	237	491	195	182	host	rnb
gene-b3867	481	4420	613	4256	273	886	162	529	102	352	60	120	host	hemN
gene-b0454	29	190	39	233	22	117	11	62	2	70	2	18	host	ybaZ
gene-b1994	330	2701	319	2545	130	644	48	342	42	232	27	93	host	insH6
gene-b0630	151	1579	188	1178	61	304	24	151	23	122	21	47	host	lipB
gene-b4458	723	33	16	48	6	67	5	43	0	21	0	11	host	oxyS
gene-b0152	81	434	209	621	66	199	24	127	4	87	9	31	host	fhuD
gene-b2802	22	180	32	403	18	369	8	276	5	166	6	42	host	fucI
gene-b4425	94	808	166	967	159	1879	136	882	63	667	62	480	host	rttR
gene-b2690	189	1674	265	1674	152	287	63	132	28	59	18	28	host	yqaB
gene-b2341	92	724	87	603	52	2900	24	261	14	176	10	77	host	fadJ
gene-b0094	1213	1995	1459	1917	532	527	235	268	103	170	98	76	host	ftsA
gene-b0387	90	632	177	676	73	222	26	77	18	54	14	21	host	yaiI
gene-b3239	26	62	21	111	18	108	2	73	0	32	3	18	host	yhcO
gene-b0847	259	2207	413	2848	152	612	53	291	38	224	28	93	host	ybjL
gene-b2457	8	45	9	74	8	86	4	50	2	23	3	5	host	eutM
gene-b1022	16	118	46	276	13	166	5	161	7	110	2	39	host	pgaC
gene-b2506	10	94	10	165	14	102	1	90	1	59	1	43	host	yfgI
gene-b2317	388	978	626	1254	304	301	56	117	58	71	27	27	host	dedA
gene-b0621	16	141	26	299	9	327	8	223	1	149	2	65	host	dcuC
gene-b1988	1381	5151	2512	8324	962	929	192	259	78	145	22	121	host	nac
gene-b0876	175	1311	220	1343	80	388	27	226	19	172	16	58	host	ybjD
gene-b3172	629	2041	803	2675	279	671	111	375	123	301	97	144	host	argG
gene-b2617	600	3545	345	2284	138	529	62	162	49	113	27	79	host	bamE
gene-b0711	441	843	552	1655	179	211	65	109	27	80	39	36	host	pxpB
gene-b2556	115	806	180	992	91	457	62	288	61	222	30	70	host	glrK
gene-b0274	39	513	140	663	80	320	27	147	15	124	7	78	host	insB3
gene-b1716	5284	58409	7873	91889	5825	16875	1420	3756	1642	2675	652	897	host	rplT
gene-b0732	40	249	55	457	23	410	11	314	17	200	8	70	host	mngB
gene-b2375	4	48	6	121	1	138	4	110	2	59	1	31	host	yfdX
gene-b0649	20	140	23	245	8	422	3	205	3	155	2	61	host	djlC
gene-b2779	9943	59302	12647	83653	9120	10060	2793	1643	1389	1234	820	411	host	eno
gene-b1205	25	190	31	298	12	158	22	134	27	155	34	77	host	ychH
gene-b1617	5	89	7	208	9	257	5	187	3	103	0	25	host	uidA
gene-b3732	13358	91490	19748	145312	15954	14206	5026	2702	2792	2599	2472	979	host	atpD
gene-b4313	21	72	46	350	29	164	9	99	7	64	1	47	host	fimE
gene-T4s001	13	4	30	34971	2312	157141	11778	277667	57848	708195	9626	738951	phage	gene-T4s001
gene-b2400	2663	21349	2980	23336	1407	2954	544	800	343	684	304	296	host	gltX
gene-b3357	1534	8829	1288	6236	362	649	152	249	110	251	105	104	host	crp
gene-b2038	369	1625	137	1713	63	129	4	50	23	35	3	19	host	rfbC
gene-b3219	45	185	30	249	18	286	5	162	9	104	3	42	host	yhcF
gene-b1916	63	364	145	536	68	152	14	76	15	71	5	31	host	sdiA
gene-b2195	15	130	23	176	15	150	4	91	5	47	3	18	host	ccmG
gene-b0221	98	474	181	1397	85	641	64	449	35	308	32	110	host	fadE
gene-b3090	36	107	59	134	19	126	5	91	5	67	2	28	host	ygjV
gene-b2533	962	15606	2023	13228	987	2220	477	568	240	406	135	153	host	suhB
gene-b3800	46	153	109	633	124	491	114	819	60	101	37	26	host	aslB
gene-b1524	77	838	125	760	46	271	15	135	15	100	8	44	host	glsB
gene-b4319	26	194	25	271	13	173	3	116	4	94	2	41	host	fimG
gene-b3582	14	118	15	262	5	290	3	243	4	190	4	72	host	sgbU
gene-b2712	42	399	66	567	32	533	19	406	13	315	3	128	host	hypF
gene-b3350	297	706	487	1152	179	629	81	402	36	299	29	126	host	kefB
gene-b3648	757	7167	1249	8105	577	747	178	249	128	201	58	88	host	gmk
gene-b1944	14	60	13	65	6	54	3	46	0	44	3	10	host	fliL
gene-b0456	14	87	39	142	27	154	10	62	8	58	1	26	host	ybaA
gene-b3358	185	1674	398	1978	113	724	72	439	30	265	40	119	host	yhfK
gene-b0806	3	22	10	55	5	69	0	30	0	13	1	5	host	mcbA
gene-b3363	392	1496	394	891	146	199	50	124	30	80	23	41	host	ppiA
gene-b0410	65	566	133	572	72	164	13	57	10	39	1	12	host	yajD
gene-T4p234	6	1	54	5774	910	172869	22584	416942	39937	429541	12352	244735	phage	gene-T4p234_gene_nrdA
gene-b2254	27	161	58	487	16	212	12	144	2	95	2	35	host	arnC
gene-b2443	44	108	15	165	6	128	3	67	2	52	2	31	host	yffL
gene-b3124	50	183	51	339	25	300	18	227	11	160	8	86	host	garK
gene-b0984	31	170	32	308	17	317	6	221	3	161	3	57	host	gfcD
gene-b4750	19	170	72	190	31	57	2	14	3	14	5	9	host	ynfS
gene-T4p232	1	1	32	2279	697	29466	3622	85751	6141	58042	1304	41190	phage	nrdB.1
gene-b2844	100	364	169	576	83	261	32	218	21	121	15	63	host	yqeF
gene-b0911	27319	145488	40414	162456	34948	30083	14366	6735	8714	5449	6637	2133	host	rpsA
gene-b0176	1326	5713	2657	7095	1180	968	440	333	234	254	174	122	host	rseP
gene-b3218	214	2040	349	1842	87	526	42	2474	29	1446	24	81	host	insH10
gene-b2368	8	63	10	186	7	129	2	105	3	62	1	39	host	emrK
gene-b4678	200	1826	282	1383	130	165	47	33	48	36	10	11	host	yoeI
gene-b3033	247	1214	271	1162	97	326	35	139	24	93	8	38	host	yqiB
gene-b0212	158	584	173	732	73	244	70	152	59	110	33	37	host	gloB
gene-b1840	372	2141	664	2621	260	442	114	184	51	135	42	62	host	yebZ
gene-b1047	76	990	151	748	34	280	15	160	18	84	6	43	host	opgC
gene-b4391	1589	11785	1881	14006	1247	2297	428	661	268	496	208	237	host	ettA
gene-b2783	220	643	374	1085	126	139	27	57	14	35	13	21	host	mazE
gene-b0254	15	136	29	195	13	234	13	137	5	121	5	36	host	perR
gene-b2498	1600	44004	1148	21816	383	2649	267	958	143	960	106	280	host	upp
gene-b2383	24	187	32	360	12	405	6	263	8	204	5	85	host	fryA
gene-b0188	176	897	267	849	111	438	83	246	51	195	29	68	host	tilS
gene-b1397	37	291	75	362	39	175	23	111	13	72	9	42	host	paaJ
gene-b2009	38	129	46	152	19	94	13	57	11	42	8	27	host	sbmC
gene-b3779	681	6772	1792	8856	821	1382	361	655	197	497	136	193	host	gpp
gene-T4p269	0	0	3733	45640	9644	33629	666	14497	2328	5885	232	6003	phage	ndd.1
gene-b2996	33	238	57	398	43	262	12	145	12	125	8	44	host	hybA
gene-b4793	3	27	66	140	38	112	1	29	5	16	1	8	host	ysaE
gene-b0716	30	112	32	175	5	165	7	113	5	70	0	38	host	ybgO
gene-b0717	6	39	9	107	6	106	5	67	1	52	0	24	host	ybgP
gene-b3544	10608	7489	14455	15457	8009	3185	1949	819	1061	621	662	287	host	dppA
gene-T4p148	0	0	9	1384	5	2549	89	7200	3905	50224	2271	40099	phage	segC
gene-b0317	1	42	3	116	1	151	1	102	1	78	0	67	host	yahC
gene-b0436	10985	89575	13006	118150	7213	19694	2655	4171	1856	2873	1543	949	host	tig
gene-b3012	166	351	212	328	59	231	35	153	22	91	13	56	host	dkgA
gene-b1672	8	50	9	84	4	71	2	39	1	39	1	8	host	ydhW
gene-b1048	1172	9139	1394	9153	461	1263	187	477	152	397	90	187	host	opgG
gene-b1738	35	179	40	226	17	107	11	28	5	33	1	12	host	chbB
gene-b3954	21	217	45	985	17	317	10	179	9	7684	7	77	host	yijO
gene-b0198	201	949	252	1520	119	399	27	167	54	181	56	69	host	metI
gene-b4408	26486	18126	24873	19997	12687	19295	7305	4718	3388	2671	2737	2462	host	csrB
gene-b4760	37	140	50	271	7	95	5	58	5	33	3	21	host	rirA
gene-b1869	111	753	128	742	54	322	21	149	16	92	8	54	host	yecN
gene-b3506	171	1342	217	1707	102	404	40	171	19	132	9	54	host	slp
gene-b3709	26	131	24	424	21	563	31	397	20	286	16	168	host	tnaB
gene-T4p008	0	0	758	52113	4567	117221	428	42008	1998	15061	80	6918	phage	39.2
gene-b2163	3	41	7	116	2	94	1	91	1	60	0	24	host	yeiL
gene-b0861	216	1861	400	2485	126	278	65	117	39	112	30	44	host	artM
gene-b4523	249	407	56	213	21	60	9	23	8	18	5	7	host	yciX
gene-b4679	11	75	18	154	9	117	0	28	0	16	2	23	host	yohP
gene-b3785	651	3419	2185	4178	447	800	218	415	169	269	121	99	host	wzzE
gene-b4120	35	237	33	385	9	447	5	297	3	250	5	86	host	melB
gene-b2761	35	171	67	401	25	498	5	344	2	225	1	159	host	cas3
gene-b3576	4	23	4	85	0	102	1	95	2	60	1	22	host	yiaL
gene-b2818	84	509	82	487	21	320	17	231	17	134	9	40	host	argA
gene-b3932	558	1281	778	2155	374	435	112	205	61	142	57	85	host	hslV
gene-b3946	13	93	17	187	15	229	8	154	4	100	8	28	host	fsaB
gene-b0319	7	55	11	142	7	179	2	141	3	104	3	50	host	yahE
gene-b4356	38	218	69	429	29	413	11	295	14	191	2	80	host	lgoT
gene-b0596	128	777	374	1617	275	388	60	147	19	106	17	44	host	entA
gene-b4176	9	134	65	197	27	91	10	46	4	31	1	11	host	yjeT
gene-b0914	655	5400	1226	6269	501	718	197	283	122	231	82	89	host	msbA
gene-b2070	42	198	54	414	32	300	20	187	11	143	4	55	host	yegI
gene-b1996	39	314	55	449	26	219	21	165	8	97	8	47	host	insD3
gene-b1717	10927	46685	13048	71090	7317	6893	1367	1487	2148	1497	747	498	host	rpmI
gene-b1148	13	73	12	127	2	99	4	61	3	28	2	18	host	ymfM
gene-b2703	7	71	7	196	2	278	0	196	1	144	1	38	host	srlE
gene-b3838	594	4137	1141	4423	333	413	191	213	84	145	105	65	host	tatB
gene-b2487	11	176	36	359	16	376	6	253	3	177	1	62	host	hyfG
gene-b2747	235	1383	442	1395	186	281	85	158	37	97	38	31	host	ispD
gene-b2792	44	439	110	599	50	144	15	60	13	55	3	16	host	yqcC
gene-b2848	0	32	1	42	0	47	1	35	1	18	0	17	host	yqeJ
gene-b0978	23	214	61	404	28	319	7	209	6	196	6	63	host	appC
gene-b2838	115	251	122	310	40	295	21	204	21	127	20	44	host	lysA
gene-b2322	44	531	87	587	42	299	27	169	14	96	8	36	host	yfcJ
gene-b1482	230	1127	204	1113	89	254	29	128	16	93	15	51	host	osmC
gene-b3091	47	219	59	467	31	302	3	185	12	151	11	44	host	uxaA
gene-b0409	1151	3431	2022	5073	1128	994	413	296	227	207	186	83	host	secF
gene-b1781	71	388	161	650	78	182	25	117	11	76	8	35	host	yeaE
gene-b3735	5077	46052	7549	67287	4545	4754	1461	991	983	879	781	293	host	atpH
gene-T4p100	0	1	1250	83310	4286	62453	144	12680	968	16595	103	8881	phage	mobD.3
gene-b1652	127	1271	206	914	81	199	34	88	21	67	11	24	host	rnt
gene-b2340	193	1108	200	1122	129	241	48	765	17	61	20	37	host	sixA
gene-b2173	153	739	143	505	46	227	27	143	7	100	8	47	host	yeiR
gene-b2308	228	1047	671	2105	209	242	51	109	25	88	16	46	host	hisQ
gene-b2388	269	463	338	505	180	304	52	183	36	120	29	44	host	glk
gene-b4769	15	134	28	176	19	52	6	20	1	10	1	3	host	ybiE
gene-b2570	121	1196	405	1426	103	261	34	128	18	117	29	45	host	rseC
gene-b1544	2	25	6	114	4	29	0	23	0	14	0	9	host	ydfK
gene-b3289	522	3292	1082	4676	472	463	188	240	124	178	62	77	host	rsmB
gene-b0081	457	2102	475	2152	216	581	92	270	65	212	56	65	host	mraZ
gene-b1547	8	47	11	117	3	145	3	95	1	31	2	11	host	stfQ
gene-b3230	7166	68298	12513	93496	11784	18974	4161	3348	2456	2123	1426	735	host	rpsI
gene-b0647	5	24	3	102	1	97	0	57	1	51	1	14	host	ybeT
gene-b4260	1574	9139	2031	11773	735	1222	281	439	154	381	153	158	host	pepA
gene-b3945	34	514	45	605	25	373	23	211	7	144	7	50	host	gldA
gene-b2201	53	208	34	298	22	130	11	91	3	67	5	23	host	ccmA
gene-b2615	173	1252	182	776	66	254	30	172	30	1406	18	44	host	nadK
gene-b2937	815	3942	1006	3725	618	664	245	250	224	204	183	85	host	speB
gene-b2759	11	48	7	96	2	89	1	75	1	36	0	11	host	casB
gene-b4385	130	699	185	818	63	394	37	226	18	168	28	84	host	hipH
gene-b0556	38	826	51	712	32	252	8	108	13	83	2	42	host	rzpD
gene-b1608	97	965	184	458	70	155	32	80	8	48	10	30	host	rstA
gene-b4015	11451	12088	18811	30321	12450	4874	3785	1388	1681	986	1134	406	host	aceA
gene-b2205	13	56	29	139	21	166	6	84	3	55	4	38	host	napG
gene-b1822	120	1356	308	1181	137	291	51	145	33	81	22	31	host	rlmA
gene-b2012	698	2142	801	2894	377	614	68	112	15	61	42	33	host	tsuB
gene-b3702	1119	5185	2984	9354	1162	1185	359	419	171	330	125	133	host	dnaA
gene-T4p190	0	1	2	702	9	1557	5	7018	2415	57980	343	35423	phage	26'
gene-b3667	30	270	102	561	49	540	16	434	8	318	8	155	host	uhpC
gene-b1740	853	1314	968	1937	477	395	147	148	105	145	57	65	host	nadE
gene-b3044	36	150	31	224	17	128	10	82	4	52	2	39	host	insC5
gene-b0541	30	345	58	436	24	300	15	187	11	135	3	57	host	insF3
gene-b1698	9	54	7	127	1	132	5	98	4	62	0	20	host	ydiR
gene-b4676	52	233	46	138	15	53	7	24	5	19	3	11	host	yoaK
gene-b2125	38	162	56	174	18	126	9	89	7	62	3	15	host	btsR
gene-b0070	95	291	73	429	44	315	21	230	16	150	9	71	host	setA
gene-b3817	18	80	42	251	25	151	10	84	17	39	16	34	host	yigF
gene-b4716	33	80	10	32	2	45	1	30	6	18	0	21	host	cpxQ
gene-b2435	199	1610	214	1445	53	251	24	113	20	85	9	40	host	amiA
gene-b0242	873	2998	904	4335	328	630	175	269	108	248	97	120	host	proB
gene-b1867	126	627	151	788	95	294	38	130	13	72	16	37	host	yecD
gene-b3472	901	5954	908	6246	382	1183	212	406	107	314	76	143	host	dcrB
gene-b4792	7	7	3	19	3	36	0	23	1	13	0	5	host	yriB
gene-b2056	2	38	7	126	4	167	0	129	1	59	0	33	host	wcaD
gene-b0222	652	3326	532	3140	217	429	115	158	70	108	50	70	host	gmhA
gene-b1074	33	93	24	111	5	99	10	73	1	43	3	22	host	flgC
gene-b0213	58	709	135	566	61	207	16	133	13	92	9	46	host	yafS
gene-b4765	22	80	28	47	11	27	1	13	2	10	0	1	host	yadX
gene-b0930	3017	23473	3795	27225	1469	2687	550	766	392	716	314	304	host	asnS
gene-b0002	4178	6260	5304	12170	2867	2005	745	683	414	499	361	250	host	thrA
gene-b0326	1	26	7	130	4	103	0	68	0	49	0	33	host	yahL
gene-b3130	80	376	66	403	19	170	8	117	13	60	1	37	host	yhaV
gene-b3470	34	544	100	600	52	220	33	96	8	78	7	26	host	tusA
gene-b1396	5	26	10	42	3	39	1	19	0	15	0	10	host	paaI
gene-b1383	61	129	38	147	10	76	2	51	8	32	3	26	host	ydbL
gene-b2634	7	61	3	98	7	107	2	88	0	62	3	24	host	yfjR
gene-b1305	37	102	39	144	13	42	3	27	5	26	5	8	host	pspB
gene-b0661	916	9801	1031	8997	468	1121	228	1319	113	294	114	118	host	miaB
gene-T4p022	0	0	8	654	342	21164	93	10197	454	5309	13	3810	phage	modA.2
gene-b3264	12	47	8	134	8	151	12	83	12	86	10	32	host	envR
gene-b0352	22	92	29	202	16	227	12	188	2	142	2	38	host	mhpE
gene-b3227	13	294	46	338	27	325	13	238	13	145	7	41	host	dcuD
gene-b3208	315	1046	432	1133	165	289	64	179	33	129	24	71	host	mtgA
gene-b0685	55	819	111	701	41	184	23	66	11	47	15	26	host	ybfE
gene-b3100	307	1998	445	3230	269	506	96	165	33	127	51	53	host	yqjK
gene-b3106	18	80	12	173	7	185	2	126	3	89	2	35	host	yhaK
gene-b1764	923	4569	1343	5384	614	669	233	207	119	149	115	83	host	selD
gene-b2206	81	394	131	618	62	428	24	302	9	166	12	57	host	napA
gene-b1253	119	1013	129	1003	66	187	21	68	15	43	13	19	host	yciA
gene-b3535	205	223	200	137	59	45	25	27	13	21	8	7	host	yhjR
gene-b1597	22	48	5	90	7	89	1	47	1	48	0	20	host	asr
gene-b1805	161	1077	439	1968	273	505	121	278	70	182	38	72	host	fadD
gene-b0278	13	56	13	172	3	143	1	81	7	68	1	37	host	yagL
gene-b3774	258	1144	261	1952	147	23107	105	513	97	367	62	138	host	ilvC
gene-b1584	187	1148	217	1278	65	163	24	67	17	67	10	27	host	speG
gene-b2924	1275	9907	1450	10896	501	1335	171	509	125	402	70	215	host	mscS
gene-b3634	192	1265	208	828	67	193	43	135	22	79	16	41	host	coaD
gene-b3722	94	1663	115	1211	76	1122	47	619	23	397	12	220	host	bglF
